statusId|sensorName|value|timestamp
8|MPU6500 Acceleration Sensor|[0.6967127,8.884883,3.3758245]|1525553238586
8|MPU6500 Gyroscope Sensor|[0.37816888,0.07882957,0.14168017]|1525553238586
8|MPU6500 Acceleration Sensor|[0.6392518,8.926781,3.1304188]|1525553238590
8|MPU6500 Gyroscope Sensor|[0.4133226,0.09374327,0.1257012]|1525553238590
8|MPU6500 Acceleration Sensor|[0.59974754,8.917204,3.110068]|1525553238596
8|MPU6500 Gyroscope Sensor|[0.44847634,0.09161274,0.111852765]|1525553238596
8|MPU6500 Acceleration Sensor|[0.5710171,8.9279785,3.2154129]|1525553238600
8|MPU6500 Gyroscope Sensor|[0.47830373,0.08628642,0.094808534]|1525553238600
8|MPU6500 Acceleration Sensor|[0.51475334,8.974665,3.1172507]|1525553238606
8|MPU6500 Gyroscope Sensor|[0.5049353,0.08841695,0.07989483]|1525553238606
8|MPU6500 Acceleration Sensor|[0.3878607,9.058462,2.7868507]|1525553238610
8|MPU6500 Gyroscope Sensor|[0.5219796,0.101200126,0.06711166]|1525553238610
8|MPU6500 Acceleration Sensor|[0.32321724,9.096769,2.5270798]|1525553238615
